Country,Region,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,corruption,year,happiness_rank,happiness_category,yoy_change
Montenegro,"Central and Eastern Europe",5.23699998855591,1.12112903594971,1.23837649822235,0.667464673519135,0.194989055395126,0.197911024093628,0.0881741940975189,2017,83,Neutral,0.076
Morocco,"Middle East and Northern Africa",5.2350001335144,0.878114581108093,0.774864435195923,0.59771066904068,0.408158332109451,0.0322099551558495,0.0877631828188896,2017,84,Neutral,0.084
Azerbaijan,"Central and Eastern Europe",5.23400020599365,1.15360176563263,1.15240025520325,0.540775775909424,0.398155838251114,0.0452693402767181,0.180987507104874,2017,85,Neutral,-0.057
"Dominican Republic","Latin America and Caribbean",5.23000001907349,1.07937383651733,1.40241670608521,0.574873745441437,0.55258983373642,0.186967849731445,0.113945253193378,2017,86,Neutral,0.075
Greece,"Western Europe",5.22700023651123,1.28948748111725,1.23941457271576,0.810198903083801,0.0957312509417534,0,0.04328977689147,2017,87,Neutral,0.194
Lebanon,"Middle East and Northern Africa",5.22499990463257,1.07498753070831,1.12962424755096,0.735081076622009,0.288515985012054,0.264450758695602,0.037513829767704,2017,88,Neutral,0.096
Portugal,"Western Europe",5.19500017166138,1.3151752948761,1.36704301834106,0.795843541622162,0.498465299606323,0.0951027125120163,0.0158694516867399,2017,89,Neutral,0.072
"Bosnia and Herzegovina","Central and Eastern Europe",5.18200016021729,0.982409417629242,1.0693359375,0.705186307430267,0.204403176903725,0.328867495059967,0,2017,90,Neutral,0.019
Honduras,"Latin America and Caribbean",5.18100023269653,0.730573117733002,1.14394497871399,0.582569479942322,0.348079860210419,0.236188873648643,0.0733454525470734,2017,91,Neutral,0.31
"North Macedonia","Central and Eastern Europe",5.17500019073486,1.06457793712616,1.20789301395416,0.644948184490204,0.325905978679657,0.25376096367836,0.0602777935564518,2017,92,Neutral,0.054
Somalia,"Sub-Saharan Africa",5.15100002288818,0.0226431842893362,0.721151351928711,0.113989137113094,0.602126955986023,0.291631311178207,0.282410323619843,2017,93,Neutral,-0.289
Vietnam,"Southeastern Asia",5.07399988174438,0.788547575473785,1.27749133110046,0.652168989181519,0.571055591106415,0.234968051314354,0.0876332372426987,2017,94,Neutral,0.013
Nigeria,"Sub-Saharan Africa",5.07399988174438,0.783756256103516,1.21577048301697,0.0569157302379608,0.394952565431595,0.230947196483612,0.0261215660721064,2017,94,Neutral,0.199
Tajikistan,"Central and Eastern Europe",5.04099988937378,0.524713635444641,1.27146327495575,0.529235124588013,0.471566706895828,0.248997643589973,0.146377146244049,2017,96,Neutral,0.045
Bhutan,"Southern Asia",5.01100015640259,0.885416388511658,1.34012651443481,0.495879292488098,0.501537680625916,0.474054545164108,0.173380389809608,2017,97,Neutral,-0.185
Kyrgyzstan,"Central and Eastern Europe",5.00400018692017,0.596220076084137,1.39423859119415,0.553457796573639,0.454943388700485,0.42858037352562,0.0394391790032387,2017,98,Neutral,-0.181
Nepal,"Southern Asia",4.96199989318848,0.479820191860199,1.17928326129913,0.504130780696869,0.440305948257446,0.394096165895462,0.0729755461215973,2017,99,Neutral,0.169
Mongolia,"Eastern Asia",4.95499992370605,1.02723586559296,1.4930112361908,0.557783484458923,0.394143968820572,0.338464230298996,0.0329022891819477,2017,100,Neutral,0.048
"South Africa","Sub-Saharan Africa",4.8289999961853,1.05469870567322,1.38478863239288,0.187080070376396,0.479246735572815,0.139362379908562,0.0725094974040985,2017,101,Neutral,0.37
Tunisia,"Middle East and Northern Africa",4.80499982833862,1.00726580619812,0.868351459503174,0.613212049007416,0.289680689573288,0.0496933571994305,0.0867231488227844,2017,102,Neutral,-0.24
"Palestinian Territories","Middle East and Northern Africa",4.77500009536743,0.716249227523804,1.15564715862274,0.565666973590851,0.25471106171608,0.114173173904419,0.0892826020717621,2017,103,Neutral,0.021
Egypt,"Middle East and Northern Africa",4.7350001335144,0.989701807498932,0.997471392154694,0.520187258720398,0.282110154628754,0.128631442785263,0.114381365478039,2017,104,Neutral,0.373
Bulgaria,"Central and Eastern Europe",4.71400022506714,1.1614590883255,1.43437945842743,0.708217680454254,0.289231717586517,0.113177694380283,0.0110515309497714,2017,105,Neutral,0.497
"Sierra Leone","Sub-Saharan Africa",4.70900011062622,0.36842092871666,0.984136044979095,0.00556475389748812,0.318697690963745,0.293040901422501,0.0710951760411263,2017,106,Neutral,0.074
Cameroon,"Sub-Saharan Africa",4.69500017166138,0.564305365085602,0.946018218994141,0.132892116904259,0.430388748645782,0.236298456788063,0.0513066314160824,2017,107,Neutral,0.182
Iran,"Middle East and Northern Africa",4.69199991226196,1.15687310695648,0.711551249027252,0.639333188533783,0.249322608113289,0.387242913246155,0.048761073499918,2017,108,Neutral,-0.121
Albania,"Central and Eastern Europe",4.64400005340576,0.996192753314972,0.803685247898102,0.731159746646881,0.381498634815216,0.201312944293022,0.0398642159998417,2017,109,Neutral,-0.011
Bangladesh,"Southern Asia",4.60799980163574,0.586682975292206,0.735131740570068,0.533241033554077,0.478356659412384,0.172255352139473,0.123717859387398,2017,110,Neutral,-0.035
Namibia,"Sub-Saharan Africa",4.57399988174438,0.964434325695038,1.0984708070755,0.33861181139946,0.520303547382355,0.0771337449550629,0.0931469723582268,2017,111,Neutral,-0
Kenya,"Sub-Saharan Africa",4.55299997329712,0.560479462146759,1.06795072555542,0.309988349676132,0.452763766050339,0.444860309362411,0.0646413192152977,2017,112,Neutral,0.197
Mozambique,"Sub-Saharan Africa",4.55000019073486,0.234305649995804,0.870701014995575,0.106654435396194,0.480791091918945,0.322228103876114,0.179436385631561,2017,113,Neutral,NULL
Myanmar,"Southeastern Asia",4.54500007629395,0.367110550403595,1.12323594093323,0.397522568702698,0.514492034912109,0.838075160980225,0.188816204667091,2017,114,Neutral,0.15
Senegal,"Sub-Saharan Africa",4.53499984741211,0.479309022426605,1.17969191074371,0.409362852573395,0.377922266721725,0.183468893170357,0.115460447967052,2017,115,Neutral,0.316
Zambia,"Sub-Saharan Africa",4.51399993896484,0.636406779289246,1.00318729877472,0.257835894823074,0.461603492498398,0.249580144882202,0.0782135501503944,2017,116,Neutral,-0.281
Iraq,"Middle East and Northern Africa",4.49700021743774,1.10271048545837,0.978613197803497,0.501180469989777,0.288555532693863,0.19963726401329,0.107215754687786,2017,117,Neutral,-0.078
Gabon,"Sub-Saharan Africa",4.46500015258789,1.1982102394104,1.1556202173233,0.356578588485718,0.312328577041626,0.0437853783369064,0.0760467872023582,2017,118,Neutral,0.344
Ethiopia,"Sub-Saharan Africa",4.46000003814697,0.339233845472336,0.86466920375824,0.353409707546234,0.408842742443085,0.312650740146637,0.165455713868141,2017,119,Neutral,-0.048
"Sri Lanka","Southern Asia",4.44000005722046,1.00985014438629,1.25997638702393,0.625130832195282,0.561213254928589,0.490863561630249,0.0736539661884308,2017,120,Neutral,0.025
Armenia,"Central and Eastern Europe",4.37599992752075,0.900596737861633,1.00748372077942,0.637524425983429,0.198303267359734,0.0834880918264389,0.0266744215041399,2017,121,Neutral,0.016
India,"Southern Asia",4.31500005722046,0.792221248149872,0.754372596740723,0.455427616834641,0.469987004995346,0.231538489460945,0.0922268852591515,2017,122,Neutral,-0.089
Mauritania,"Sub-Saharan Africa",4.29199981689453,0.648457288742065,1.2720308303833,0.285349279642105,0.0960980430245399,0.201870024204254,0.136957004666328,2017,123,Neutral,0.091
"Congo (Brazzaville)","Sub-Saharan Africa",4.29099988937378,0.808964252471924,0.832044363021851,0.28995743393898,0.435025870800018,0.120852127671242,0.0796181336045265,2017,124,Neutral,0.055
Georgia,"Central and Eastern Europe",4.28599977493286,0.950612664222717,0.57061493396759,0.649546980857849,0.309410035610199,0.0540088154375553,0.251666635274887,2017,125,Neutral,0.034
"Congo (Kinshasa)","Sub-Saharan Africa",4.28000020980835,0.0921023488044739,1.22902345657349,0.191407024860382,0.235961347818375,0.246455833315849,0.0602413564920425,2017,126,Neutral,0.008
Mali,"Sub-Saharan Africa",4.19000005722046,0.476180493831635,1.28147339820862,0.169365674257278,0.306613743305206,0.183354198932648,0.104970246553421,2017,127,Neutral,0.117
"Ivory Coast","Sub-Saharan Africa",4.17999982833862,0.603048920631409,0.904780030250549,0.0486421696841717,0.447706192731857,0.201237469911575,0.130061775445938,2017,128,Neutral,0.264
Cambodia,"Southeastern Asia",4.16800022125244,0.601765096187592,1.00623834133148,0.429783403873444,0.633375823497772,0.385922968387604,0.0681059509515762,2017,129,Neutral,0.261
Sudan,"Sub-Saharan Africa",4.13899993896484,0.65951669216156,1.21400856971741,0.290920823812485,0.0149958552792668,0.182317450642586,0.089847519993782,2017,130,Neutral,-0
Ghana,"Sub-Saharan Africa",4.11999988555908,0.667224824428558,0.873664736747742,0.295637726783752,0.423026293516159,0.256923943758011,0.0253363698720932,2017,131,Neutral,-0.156
Ukraine,"Central and Eastern Europe",4.09600019454956,0.89465194940567,1.39453756809235,0.575903952121735,0.122974775731564,0.270061463117599,0.0230294708162546,2017,132,Neutral,-0.228
Uganda,"Sub-Saharan Africa",4.08099985122681,0.381430715322495,1.12982773780823,0.217632606625557,0.443185955286026,0.325766056776047,0.057069718837738,2017,133,Neutral,0.342
"Burkina Faso","Sub-Saharan Africa",4.03200006484985,0.3502277135849,1.04328000545502,0.215844258666039,0.324367851018906,0.250864684581757,0.120328105986118,2017,134,Neutral,0.293
Niger,"Sub-Saharan Africa",4.02799987792969,0.161925330758095,0.993025004863739,0.26850500702858,0.36365869641304,0.228673845529556,0.138572946190834,2017,135,Neutral,0.172
Malawi,"Sub-Saharan Africa",3.97000002861023,0.233442038297653,0.512568831443787,0.315089583396912,0.466914653778076,0.287170469760895,0.0727116540074348,2017,136,Unhappy,-0.186
Chad,"Sub-Saharan Africa",3.93600010871887,0.438012987375259,0.953855872154236,0.0411347150802612,0.16234202682972,0.216113850474358,0.0535818822681904,2017,137,Unhappy,0.173
Zimbabwe,"Sub-Saharan Africa",3.875,0.375846534967422,1.08309590816498,0.196763753890991,0.336384207010269,0.189143493771553,0.0953753814101219,2017,138,Unhappy,-0.318
Lesotho,"Sub-Saharan Africa",3.80800008773804,0.521021246910095,1.19009518623352,0,0.390661299228668,0.157497271895409,0.119094640016556,2017,139,Unhappy,NULL
Angola,"Sub-Saharan Africa",3.79500007629395,0.858428180217743,1.10441195964813,0.0498686656355858,0,0.097926490008831,0.0697203353047371,2017,140,Unhappy,-0.071
Afghanistan,"Southern Asia",3.79399991035461,0.401477217674255,0.581543326377869,0.180746778845787,0.106179520487785,0.311870932579041,0.0611578300595284,2017,141,Unhappy,0.434
Botswana,"Sub-Saharan Africa",3.76600003242493,1.12209415435791,1.22155499458313,0.341755509376526,0.505196332931519,0.0993484482169151,0.0985831990838051,2017,142,Unhappy,-0.208
Benin,"Sub-Saharan Africa",3.65700006484985,0.431085407733917,0.435299843549728,0.209930211305618,0.425962775945663,0.207948461174965,0.0609290152788162,2017,143,Unhappy,0.173
Madagascar,"Sub-Saharan Africa",3.64400005340576,0.305808693170547,0.913020372390747,0.375223308801651,0.189196765422821,0.208732530474663,0.0672319754958153,2017,144,Unhappy,-0.051
Haiti,"Latin America and Caribbean",3.6029999256134,0.368610262870789,0.640449821949005,0.277321130037308,0.0303698573261499,0.489203780889511,0.0998721495270729,2017,145,Unhappy,-0.425
Yemen,"Middle East and Northern Africa",3.59299993515015,0.591683447360992,0.93538224697113,0.310080915689468,0.249463722109795,0.104125209152699,0.0567674227058887,2017,146,Unhappy,-0.131
"South Sudan","Sub-Saharan Africa",3.59100008010864,0.39724862575531,0.601323127746582,0.163486003875732,0.147062435746193,0.285670816898346,0.116793513298035,2017,147,Unhappy,-0.241
Liberia,"Sub-Saharan Africa",3.53299999237061,0.119041793048382,0.872117936611176,0.229918196797371,0.332881182432175,0.26654988527298,0.0389482490718365,2017,148,Unhappy,-0.089
Guinea,"Sub-Saharan Africa",3.50699996948242,0.244549930095673,0.791244685649872,0.194129139184952,0.348587512969971,0.264815092086792,0.110937617719173,2017,149,Unhappy,-0.1
Togo,"Sub-Saharan Africa",3.49499988555908,0.305444717407227,0.431882530450821,0.247105568647385,0.38042613863945,0.196896150708199,0.0956650152802467,2017,150,Unhappy,0.192
Rwanda,"Sub-Saharan Africa",3.47099995613098,0.368745893239975,0.945707023143768,0.326424807310104,0.581843852996826,0.252756029367447,0.455220013856888,2017,151,Unhappy,-0.044
Syria,"Middle East and Northern Africa",3.46199989318848,0.777153134346008,0.396102607250214,0.50053334236145,0.0815394446253777,0.493663728237152,0.151347130537033,2017,152,Unhappy,0.393
Tanzania,"Sub-Saharan Africa",3.34899997711182,0.511135876178741,1.04198980331421,0.364509284496307,0.390017777681351,0.354256361722946,0.0660351067781448,2017,153,Unhappy,-0.317
Burundi,"Sub-Saharan Africa",2.90499997138977,0.091622568666935,0.629793584346771,0.151610791683197,0.0599007532000542,0.204435184597969,0.0841479450464249,2017,154,Unhappy,-0
"Central African Republic","Sub-Saharan Africa",2.69300007820129,0,0,0.0187726859003305,0.270842045545578,0.280876487493515,0.0565650761127472,2017,155,Unhappy,NULL
Finland,"Western Europe",7.632,1.305,1.592,0.874,0.681,0.202,0.393,2018,1,Happy,0.163
Norway,"Western Europe",7.594,1.456,1.582,0.861,0.686,0.286,0.34,2018,2,Happy,0.057
Denmark,"Western Europe",7.555,1.351,1.59,0.868,0.683,0.284,0.408,2018,3,Happy,0.033
Iceland,"Western Europe",7.495,1.343,1.644,0.914,0.677,0.353,0.138,2018,4,Happy,-0.009
Switzerland,"Western Europe",7.487,1.42,1.549,0.927,0.66,0.256,0.357,2018,5,Happy,-0.007
Netherlands,"Western Europe",7.441,1.361,1.488,0.878,0.638,0.333,0.295,2018,6,Happy,0.064
Canada,"North America",7.328,1.33,1.532,0.896,0.653,0.321,0.291,2018,7,Happy,0.012
"New Zealand","Australia and New Zealand",7.324,1.268,1.601,0.876,0.669,0.365,0.389,2018,8,Happy,0.01
Sweden,"Western Europe",7.314,1.355,1.501,0.913,0.659,0.285,0.383,2018,9,Happy,0.03
Australia,"Australia and New Zealand",7.272,1.34,1.573,0.91,0.647,0.361,0.302,2018,10,Happy,-0.012
"United Kingdom","Western Europe",7.19,1.244,1.433,0.888,0.464,0.262,0.082,2018,11,Happy,0.476
Austria,"Western Europe",7.139,1.341,1.504,0.891,0.617,0.242,0.224,2018,12,Happy,0.133
"Costa Rica","Latin America and Caribbean",7.072,1.01,1.459,0.817,0.632,0.143,0.101,2018,13,Happy,-0.007
Ireland,"Western Europe",6.977,1.448,1.583,0.876,0.614,0.307,0.306,2018,14,Happy,-0
Germany,"Western Europe",6.965,1.34,1.474,0.861,0.586,0.273,0.28,2018,15,Happy,0.014
Belgium,"Western Europe",6.927,1.324,1.483,0.894,0.583,0.188,0.24,2018,16,Happy,0.036
Luxembourg,"Western Europe",6.91,1.576,1.52,0.896,0.632,0.196,0.321,2018,17,Happy,0.047
"United States","North America",6.886,1.398,1.471,0.819,0.547,0.291,0.133,2018,18,Happy,-0.107
Israel,"Middle East and Northern Africa",6.814,1.301,1.559,0.883,0.533,0.354,0.272,2018,19,Happy,-0.399
"Czech Republic","Central and Eastern Europe",6.711,1.233,1.489,0.854,0.543,0.064,0.034,2018,20,Happy,0.102
Malta,"Western Europe",6.627,1.27,1.525,0.884,0.645,0.376,0.142,2018,21,Happy,0.1
France,"Western Europe",6.489,1.293,1.466,0.908,0.52,0.098,0.176,2018,22,Happy,0.047
Mexico,"Latin America and Caribbean",6.488,1.038,1.252,0.761,0.479,0.069,0.095,2018,23,Happy,-0.09
Chile,"Latin America and Caribbean",6.476,1.131,1.331,0.808,0.431,0.197,0.061,2018,24,Happy,-0.176
Taiwan,"Eastern Asia",6.441,1.365,1.436,0.857,0.418,0.151,0.078,2018,25,Happy,0.019
Panama,"Latin America and Caribbean",6.43,1.112,1.438,0.759,0.597,0.125,0.063,2018,26,Happy,-0.022
Brazil,"Latin America and Caribbean",6.419,0.986,1.474,0.675,0.493,0.11,0.088,2018,27,Happy,-0.216
Argentina,"Latin America and Caribbean",6.388,1.073,1.468,0.744,0.57,0.062,0.054,2018,28,Happy,-0.211
Guatemala,"Latin America and Caribbean",6.382,0.781,1.268,0.608,0.604,0.179,0.071,2018,29,Happy,-0.072
Uruguay,"Latin America and Caribbean",6.379,1.093,1.459,0.771,0.625,0.13,0.155,2018,30,Happy,-0.075
Qatar,"Middle East and Northern Africa",6.374,1.649,1.303,0.748,0.654,0.256,0.171,2018,31,Happy,-0.001
"Saudi Arabia","Middle East and Northern Africa",6.371,1.379,1.331,0.633,0.509,0.098,0.127,2018,32,Happy,0.027
Singapore,"Southeastern Asia",6.343,1.529,1.451,1.008,0.631,0.261,0.457,2018,33,Happy,-0.229
Malaysia,"Southeastern Asia",6.322,1.161,1.258,0.669,0.356,0.311,0.059,2018,34,Happy,0.238
Spain,"Western Europe",6.31,1.251,1.538,0.965,0.449,0.142,0.074,2018,35,Happy,-0.093
Colombia,"Latin America and Caribbean",6.26,0.96,1.439,0.635,0.531,0.099,0.039,2018,36,Happy,-0.097
"Trinidad and Tobago","Latin America and Caribbean",6.192,1.223,1.492,0.564,0.575,0.171,0.019,2018,37,Happy,0.024
Slovakia,"Central and Eastern Europe",6.173,1.21,1.537,0.776,0.354,0.118,0.014,2018,38,Happy,0.075
"El Salvador","Latin America and Caribbean",6.167,0.806,1.231,0.639,0.461,0.065,0.082,2018,39,Happy,0.164
Nicaragua,"Latin America and Caribbean",6.141,0.668,1.319,0.7,0.527,0.208,0.128,2018,40,Happy,0.07
Poland,"Central and Eastern Europe",6.123,1.176,1.448,0.781,0.546,0.108,0.064,2018,41,Happy,0.15
Bahrain,"Middle East and Northern Africa",6.105,1.338,1.366,0.698,0.594,0.243,0.123,2018,42,Happy,0.018
Uzbekistan,"Central and Eastern Europe",6.096,0.719,1.584,0.605,0.724,0.328,0.259,2018,43,Happy,0.125
Kuwait,"Middle East and Northern Africa",6.083,1.474,1.301,0.675,0.554,0.167,0.106,2018,44,Happy,-0.022
Thailand,"Southeastern Asia",6.072,1.016,1.417,0.707,0.637,0.364,0.029,2018,45,Happy,-0.352
Italy,"Western Europe",6,1.264,1.501,0.946,0.281,0.137,0.028,2018,46,Happy,0.036
Ecuador,"Latin America and Caribbean",5.973,0.889,1.33,0.736,0.556,0.114,0.12,2018,47,Neutral,-0.035
Belize,"Latin America and Caribbean",5.956,0.807,1.101,0.474,0.593,0.183,0.089,2018,48,Neutral,0
Lithuania,"Central and Eastern Europe",5.952,1.197,1.527,0.716,0.35,0.026,0.006,2018,49,Neutral,0.05
Slovenia,"Central and Eastern Europe",5.948,1.219,1.506,0.856,0.633,0.16,0.051,2018,50,Neutral,0.19
Romania,"Central and Eastern Europe",5.945,1.116,1.219,0.726,0.528,0.088,0.001,2018,51,Neutral,0.12
Latvia,"Central and Eastern Europe",5.933,1.148,1.454,0.671,0.363,0.092,0.066,2018,52,Neutral,0.083
Japan,"Eastern Asia",5.915,1.294,1.462,0.988,0.553,0.079,0.15,2018,53,Neutral,-0.005
Mauritius,"Sub-Saharan Africa",5.891,1.09,1.387,0.684,0.584,0.245,0.05,2018,54,Neutral,0.262
Jamaica,"Latin America and Caribbean",5.89,0.819,1.493,0.693,0.575,0.096,0.031,2018,55,Neutral,0.579
"South Korea","Eastern Asia",5.875,1.266,1.204,0.955,0.244,0.175,0.051,2018,56,Neutral,0.037
"Northern Cyprus","Western Europe",5.835,1.229,1.211,0.909,0.495,0.179,0.154,2018,57,Neutral,0.025
Russia,"Central and Eastern Europe",5.81,1.151,1.479,0.599,0.399,0.065,0.025,2018,58,Neutral,-0.153
Kazakhstan,"Central and Eastern Europe",5.79,1.143,1.516,0.631,0.454,0.148,0.121,2018,59,Neutral,-0.029
Cyprus,"Western Europe",5.762,1.229,1.191,0.909,0.423,0.202,0.035,2018,60,Neutral,0.141
Bolivia,"Latin America and Caribbean",5.752,0.751,1.223,0.508,0.606,0.141,0.054,2018,61,Neutral,-0.071
Estonia,"Central and Eastern Europe",5.739,1.2,1.532,0.737,0.553,0.086,0.174,2018,62,Neutral,0.128
Paraguay,"Latin America and Caribbean",5.681,0.835,1.522,0.615,0.541,0.162,0.074,2018,63,Neutral,0.188
Peru,"Latin America and Caribbean",5.663,0.934,1.249,0.674,0.53,0.092,0.034,2018,64,Neutral,-0.052
Kosovo,"Central and Eastern Europe",5.662,0.855,1.23,0.578,0.448,0.274,0.023,2018,65,Neutral,0.383
Moldova,"Central and Eastern Europe",5.64,0.657,1.301,0.62,0.232,0.171,0,2018,66,Neutral,-0.198
Turkmenistan,"Central and Eastern Europe",5.636,1.016,1.533,0.517,0.417,0.199,0.037,2018,67,Neutral,-0.186
Hungary,"Central and Eastern Europe",5.62,1.171,1.401,0.732,0.259,0.061,0.022,2018,68,Neutral,0.296
Libya,"Middle East and Northern Africa",5.566,0.985,1.35,0.553,0.496,0.116,0.148,2018,69,Neutral,0.041
Philippines,"Southeastern Asia",5.524,0.775,1.312,0.513,0.643,0.12,0.105,2018,70,Neutral,0.094
Honduras,"Latin America and Caribbean",5.504,0.62,1.205,0.622,0.459,0.197,0.074,2018,71,Neutral,0.323
Belarus,"Central and Eastern Europe",5.483,1.039,1.498,0.7,0.307,0.101,0.154,2018,72,Neutral,-0.086
Turkey,"Middle East and Northern Africa",5.483,1.148,1.38,0.686,0.324,0.106,0.109,2018,72,Neutral,-0.017
Pakistan,"Southern Asia",5.472,0.652,0.81,0.424,0.334,0.216,0.113,2018,74,Neutral,0.203
"Hong Kong","Eastern Asia",5.43,1.405,1.29,1.03,0.524,0.246,0.291,2018,75,Neutral,-0.042
Portugal,"Western Europe",5.41,1.188,1.429,0.884,0.562,0.055,0.017,2018,76,Neutral,0.215
Serbia,"Central and Eastern Europe",5.398,0.975,1.369,0.685,0.288,0.134,0.043,2018,77,Neutral,0.003
Greece,"Western Europe",5.358,1.154,1.202,0.879,0.131,0,0.044,2018,78,Neutral,0.131
Lebanon,"Middle East and Northern Africa",5.358,0.965,1.179,0.785,0.503,0.214,0.136,2018,78,Neutral,0.133
Montenegro,"Central and Eastern Europe",5.347,1.017,1.279,0.729,0.259,0.111,0.081,2018,80,Neutral,0.11
Croatia,"Central and Eastern Europe",5.321,1.115,1.161,0.737,0.38,0.12,0.039,2018,81,Neutral,0.028
"Dominican Republic","Latin America and Caribbean",5.302,0.982,1.441,0.614,0.578,0.12,0.106,2018,82,Neutral,0.072
Algeria,"Middle East and Northern Africa",5.295,0.979,1.154,0.687,0.077,0.055,0.135,2018,83,Neutral,-0.577
Morocco,"Middle East and Northern Africa",5.254,0.779,0.797,0.669,0.46,0.026,0.074,2018,84,Neutral,0.019
China,"Eastern Asia",5.246,0.989,1.142,0.799,0.597,0.029,0.103,2018,85,Neutral,-0.027
Azerbaijan,"Central and Eastern Europe",5.201,1.024,1.161,0.603,0.43,0.031,0.176,2018,86,Neutral,-0.033
Tajikistan,"Central and Eastern Europe",5.199,0.474,1.166,0.598,0.292,0.187,0.034,2018,87,Neutral,0.158
"North Macedonia","Central and Eastern Europe",5.185,0.959,1.239,0.691,0.394,0.173,0.052,2018,88,Neutral,0.01
Jordan,"Middle East and Northern Africa",5.161,0.822,1.265,0.645,0.468,0.13,0.134,2018,89,Neutral,-0.175
Nigeria,"Sub-Saharan Africa",5.155,0.689,1.172,0.048,0.462,0.201,0.032,2018,90,Neutral,0.081
Kyrgyzstan,"Central and Eastern Europe",5.131,0.53,1.416,0.594,0.54,0.281,0.035,2018,91,Neutral,0.127
"Bosnia and Herzegovina","Central and Eastern Europe",5.129,0.915,1.078,0.758,0.28,0.216,0,2018,92,Neutral,-0.053
Mongolia,"Eastern Asia",5.125,0.914,1.517,0.575,0.395,0.253,0.032,2018,93,Neutral,0.17
Vietnam,"Southeastern Asia",5.103,0.715,1.365,0.702,0.618,0.177,0.079,2018,94,Neutral,0.029
Indonesia,"Southeastern Asia",5.093,0.899,1.215,0.522,0.538,0.484,0.018,2018,95,Neutral,-0.169
Bhutan,"Southern Asia",5.082,0.796,1.335,0.527,0.541,0.364,0.171,2018,96,Neutral,0.071
Somalia,"Sub-Saharan Africa",4.982,0,0.712,0.115,0.674,0.238,0.282,2018,97,Neutral,-0.169
Cameroon,"Sub-Saharan Africa",4.975,0.535,0.891,0.182,0.454,0.183,0.043,2018,98,Neutral,0.28
Bulgaria,"Central and Eastern Europe",4.933,1.054,1.515,0.712,0.359,0.064,0.009,2018,99,Neutral,0.219
Nepal,"Southern Asia",4.88,0.425,1.228,0.539,0.526,0.302,0.078,2018,100,Neutral,-0.082
Venezuela,"Latin America and Caribbean",4.806,0.996,1.469,0.657,0.133,0.056,0.052,2018,101,Neutral,-0.444
Gabon,"Sub-Saharan Africa",4.758,1.036,1.164,0.404,0.356,0.032,0.052,2018,102,Neutral,0.293
"Palestinian Territories","Middle East and Northern Africa",4.743,0.642,1.217,0.602,0.266,0.086,0.076,2018,103,Neutral,-0.032
"South Africa","Sub-Saharan Africa",4.724,0.94,1.41,0.33,0.516,0.103,0.056,2018,104,Neutral,-0.105
Iran,"Middle East and Northern Africa",4.707,1.059,0.771,0.691,0.459,0.282,0.129,2018,105,Neutral,0.015
"Ivory Coast","Sub-Saharan Africa",4.671,0.541,0.872,0.08,0.467,0.146,0.103,2018,106,Neutral,0.491
Ghana,"Sub-Saharan Africa",4.657,0.592,0.896,0.337,0.499,0.212,0.029,2018,107,Neutral,0.537
Senegal,"Sub-Saharan Africa",4.631,0.429,1.117,0.433,0.406,0.138,0.082,2018,108,Neutral,0.096
Laos,"Southeastern Asia",4.623,0.72,1.034,0.441,0.626,0.23,0.174,2018,109,Neutral,NULL
Tunisia,"Middle East and Northern Africa",4.592,0.9,0.906,0.69,0.271,0.04,0.063,2018,110,Neutral,-0.213
Albania,"Central and Eastern Europe",4.586,0.916,0.817,0.79,0.419,0.149,0.032,2018,111,Neutral,-0.058
"Sierra Leone","Sub-Saharan Africa",4.571,0.256,0.813,0,0.355,0.238,0.053,2018,112,Neutral,-0.138
"Congo (Brazzaville)","Sub-Saharan Africa",4.559,0.682,0.811,0.343,0.514,0.091,0.077,2018,113,Neutral,0.268
Bangladesh,"Southern Asia",4.5,0.532,0.85,0.579,0.58,0.153,0.144,2018,114,Neutral,-0.108
"Sri Lanka","Southern Asia",4.471,0.918,1.314,0.672,0.585,0.307,0.05,2018,115,Neutral,0.031
Iraq,"Middle East and Northern Africa",4.456,1.01,0.971,0.536,0.304,0.148,0.095,2018,116,Neutral,-0.041
Mali,"Sub-Saharan Africa",4.447,0.37,1.233,0.152,0.367,0.139,0.056,2018,117,Neutral,0.257
Namibia,"Sub-Saharan Africa",4.441,0.874,1.281,0.365,0.519,0.051,0.064,2018,118,Neutral,-0.133
Cambodia,"Southeastern Asia",4.433,0.549,1.088,0.457,0.696,0.256,0.065,2018,119,Neutral,0.265
"Burkina Faso","Sub-Saharan Africa",4.424,0.314,1.097,0.254,0.312,0.175,0.128,2018,120,Neutral,0.392
Egypt,"Middle East and Northern Africa",4.419,0.885,1.025,0.553,0.312,0.092,0.107,2018,121,Neutral,-0.316
Mozambique,"Sub-Saharan Africa",4.417,0.198,0.902,0.173,0.531,0.206,0.158,2018,122,Neutral,-0.133
Kenya,"Sub-Saharan Africa",4.41,0.493,1.048,0.454,0.504,0.352,0.055,2018,123,Neutral,-0.143
Zambia,"Sub-Saharan Africa",4.377,0.562,1.047,0.295,0.503,0.221,0.082,2018,124,Neutral,-0.137
Mauritania,"Sub-Saharan Africa",4.356,0.557,1.245,0.292,0.129,0.134,0.093,2018,125,Neutral,0.064
Ethiopia,"Sub-Saharan Africa",4.35,0.308,0.95,0.391,0.452,0.22,0.146,2018,126,Neutral,-0.11
Georgia,"Central and Eastern Europe",4.34,0.853,0.592,0.643,0.375,0.038,0.215,2018,127,Neutral,0.054
